CodeSite_SamplingOperations,Longitude_Lambert93,Latitude_Lambert93,Watershed,CodeDepartement,HERlvl1Code,HERlvl1Name,HERlvl2Code,HERlvl2Name,Altitude,Streamsize
S04164005,344215.8,6835163.0,Loire-Bretagne,35,12,ARMORICAIN,118,MA-cotes du nord,0.0,TP
S04196280,278402.0,6798220.0,Loire-Bretagne,22,12,ARMORICAIN,59,MA-ouest,0.0,TP
S05010950,436800.0,6510150.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,6.0,TP
S04052265,611829.1,6719000.0,Loire-Bretagne,41,20,DEPOTS ARGILO SABLEUX,28,Sologne-Foret d'Orleans,0.0,P
S04026500,767378.6,6385344.0,Loire-Bretagne,48,8,CEVENNES,70,Haute Loire Cevenole,0.0,TP
S04048000,673175.1,6730820.0,Loire-Bretagne,45,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,TG
S04089200,634205.0,6582812.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04089500,613921.54,6583380.17,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S04089400,623127.9,6585688.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04088200,616617.6,6569866.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04092800,593953.7,6564900.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04041750,670388.2,6525150.0,Loire-Bretagne,63,21,MASSIF CENTRAL NORD,89,Hautes Terres Limousines,0.0,M
S04103200,449800.1,6705956.0,Loire-Bretagne,49,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,0.0,TG
S04160200,410851.18,6579380.6,Loire-Bretagne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,0.0,TP
S04019000,800399.0,6613483.0,Loire-Bretagne,71,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,0.0,M
S04019190,795862.64,6606366.87,Loire-Bretagne,71,17,DEPRESSIONS SEDIMENTAIRES,52,Fosses tectoniques,0.0,TP
S04023130,767395.1,6624310.0,Loire-Bretagne,71,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,0.0,P
S04023140,761455.14,6619129.44,Loire-Bretagne,71,17,DEPRESSIONS SEDIMENTAIRES,52,Fosses tectoniques,0.0,P
S04215503,332242.8,6736198.0,Loire-Bretagne,44,12,ARMORICAIN,117,MA-est interieur,0.0,TP
S04215970,322252.0,6733126.0,Loire-Bretagne,44,12,ARMORICAIN,117,MA-est interieur,0.0,TP
S04721002,350438.0,6605576.0,Loire-Bretagne,85,12,ARMORICAIN,58,MA-sud interieur,0.0,TP
S03053999,679542.0,6786720.0,Seine-Normandie,77,9,TABLES CALCAIRES,38,TC-aureole cretace,72.0,G
S03271000,386563.85,6853896.86,Seine-Normandie,50,12,ARMORICAIN,55,MA-nord est,10.0,M
S04000580,777688.1,6417912.0,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,49,Hautes Terres Volcaniques orientales,0.0,M
S04015050,797044.1,6570620.0,Loire-Bretagne,71,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,0.0,P
S04017595,788204.1,6622523.0,Loire-Bretagne,71,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,0.0,TP
S04023160,749732.3,6608020.0,Loire-Bretagne,03,17,DEPRESSIONS SEDIMENTAIRES,52,Fosses tectoniques,0.0,P
S04053320,555408.5,6703302.0,Loire-Bretagne,37,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,TP
S04057700,649340.28,6560042.65,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04113050,462434.2,6801812.0,Loire-Bretagne,53,12,ARMORICAIN,55,MA-nord est,0.0,P
S04604004,522043.0,6789739.0,Loire-Bretagne,72,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,0.0,TP
S03265993,378477.0,6875370.0,Seine-Normandie,50,12,ARMORICAIN,55,MA-nord est,25.0,P
S05227240,425582.0,6332860.0,Adour-Garonne,40,13,LANDES,21,Landes,63.0,TP
S05126000,620285.0,6354570.0,Adour-Garonne,12,3,MASSIF CENTRAL SUD,93,MC versant occidental,237.0,P
S04024800,718785.4,6652870.0,Loire-Bretagne,58,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,0.0,TP
S04075882,587577.6,6521630.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04075883,588542.1,6521058.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S04076000,578906.5,6530490.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S04077200,589023.9,6541469.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S04079820,552848.9,6529812.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04093500,571640.3,6558872.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S06180900,709024.0,6238685.0,Rhône-Méditerranée,11,6,MEDITERRANEEN,105,Plaine mediterraneenne,5.0,TG
S04137993,415494.5,6638798.0,Loire-Bretagne,85,12,ARMORICAIN,58,MA-sud interieur,0.0,M
S05035400,541623.0,6505120.0,Adour-Garonne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,350.0,TP
S04067210,647835.9,6693399.0,Loire-Bretagne,18,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,TP
S04078050,570107.6,6530602.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S05024306,518106.0,6522180.0,Adour-Garonne,16,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,223.0,TP
S04521000,486730.4,6583761.0,Loire-Bretagne,86,9,TABLES CALCAIRES,97,TC - Charentes Poitou,0.0,P
S06080000,882011.0,6534150.0,Rhône-Méditerranée,01,5,JURA-PREALPES DU NORD,85,Collines du Bas Dauphine,193.0,TG
S06072300,917428.0,6531544.0,Rhône-Méditerranée,73,5,JURA-PREALPES DU NORD,120,Bugey,235.0,TG
S04082090,520963.19,6546622.87,Loire-Bretagne,16,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04080900,532544.62,6534147.33,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,G
S04081300,523164.2,6533154.0,Loire-Bretagne,16,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,G
S04059200,666363.62,6581618.4,Loire-Bretagne,03,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04070395,567196.4,6694564.0,Loire-Bretagne,41,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,TP
S04122300,443465.1,6755828.0,Loire-Bretagne,53,12,ARMORICAIN,117,MA-est interieur,0.0,P
S04460001,648566.6,6598119.0,Loire-Bretagne,18,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04070350,578796.9,6692470.0,Loire-Bretagne,41,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,TP
S04057720,643394.2,6554416.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S05131200,605295.0,6294880.0,Adour-Garonne,81,14,COTEAUX AQUITAINS,68,Coteaux molassiques Est Aquitaine,109.0,P
S04108466,515636.0,6746910.0,Loire-Bretagne,72,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,0.0,TP
S04026900,768551.1,6403340.0,Loire-Bretagne,48,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,0.0,M
S04004520,807447.0,6468327.0,Loire-Bretagne,42,3,MASSIF CENTRAL SUD,50,Hautes Terres Granitiques orientales,0.0,TP
S04015040,803571.4,6579948.0,Loire-Bretagne,71,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,0.0,P
S04016555,781065.16,6591678.63,Loire-Bretagne,71,17,DEPRESSIONS SEDIMENTAIRES,52,Fosses tectoniques,0.0,TP
S04027200,758384.8,6415780.0,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,0.0,G
S04081340,528790.96,6528366.66,Loire-Bretagne,16,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04124985,431554.6,6802740.0,Loire-Bretagne,53,12,ARMORICAIN,55,MA-nord est,0.0,P
S04200499,317063.65,6738446.72,Loire-Bretagne,56,12,ARMORICAIN,117,MA-est interieur,0.0,G
S04009080,807156.88,6501853.0,Loire-Bretagne,42,3,MASSIF CENTRAL SUD,86,Mont du Lyonnais - Pilat,0.0,P
S04113200,466152.0,6796827.0,Loire-Bretagne,53,12,ARMORICAIN,55,MA-nord est,0.0,P
S04123825,410542.9,6830490.0,Loire-Bretagne,53,12,ARMORICAIN,55,MA-nord est,0.0,TP
S04407009,793374.8,6523970.0,Loire-Bretagne,42,17,DEPRESSIONS SEDIMENTAIRES,45,Plaine du Forez,0.0,TP
S04027800,732023.6,6462515.0,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,43,MC-Depressions internes,0.0,G
S04027500,746833.4,6436827.0,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,0.0,G
S04015325,782690.78,6564279.73,Loire-Bretagne,42,17,DEPRESSIONS SEDIMENTAIRES,52,Fosses tectoniques,0.0,P
S04027290,753211.41,6422557.59,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,0.0,G
S04027380,751859.8,6430242.0,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,0.0,G
S04201550,386162.15,6791919.7,Loire-Bretagne,35,12,ARMORICAIN,117,MA-est interieur,0.0,P
S04003160,801237.64,6447103.48,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,50,Hautes Terres Granitiques orientales,0.0,P
S03053275,699339.62,6772711.99,Seine-Normandie,45,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,126.0,TP
S04149400,315758.8,6713215.0,Loire-Bretagne,44,12,ARMORICAIN,58,MA-sud interieur,0.0,M
S04060995,685281.6,6574611.0,Loire-Bretagne,03,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S06131550,830892.0,6287998.0,Rhône-Méditerranée,13,6,MEDITERRANEEN,105,Plaine mediterraneenne,5.0,TG
S04174285,193874.25,6855668.01,Loire-Bretagne,29,12,ARMORICAIN,59,MA-ouest,0.0,TP
S04174520,183548.5,6856760.0,Loire-Bretagne,29,12,ARMORICAIN,59,MA-ouest,0.0,TP
S06148400,870095.0,6451364.0,Rhône-Méditerranée,26,5,JURA-PREALPES DU NORD,85,Collines du Bas Dauphine,291.0,P
S04130500,406822.1,6766650.0,Loire-Bretagne,53,12,ARMORICAIN,117,MA-est interieur,0.0,P
S03164330,631896.0,6928966.0,Seine-Normandie,60,9,TABLES CALCAIRES,57,TC - Hte Normandie Picardie,66.0,P
S04079620,560000.8,6519821.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04415012,749594.4,6569212.0,Loire-Bretagne,03,17,DEPRESSIONS SEDIMENTAIRES,52,Fosses tectoniques,0.0,TP
S05053030,588453.0,6461340.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,239.0,TP
S05053060,591299.0,6466830.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,317.0,TP
S05054200,601242.0,6470860.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,423.0,TP
S05055000,605775.0,6467630.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,234.0,P
S04079775,553824.8,6524716.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04119160,469179.9,6750076.0,Loire-Bretagne,72,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,0.0,TP
S04415006,748909.7,6593982.0,Loire-Bretagne,03,17,DEPRESSIONS SEDIMENTAIRES,52,Fosses tectoniques,0.0,TP
S05055200,611382.0,6474470.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,417.0,P
S05057099,601273.0,6492740.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,350.0,P
S06455460,993633.0,6723606.0,Rhône-Méditerranée,90,18,ALSACE,73,Collines du Sundgau,340.0,M
S03193298,557162.44,6835716.85,Seine-Normandie,28,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,180.0,TP
S04123980,431851.05,6814697.18,Loire-Bretagne,53,12,ARMORICAIN,55,MA-nord est,0.0,M
S04504000,572439.6,6530644.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S05051300,560498.0,6448950.0,Adour-Garonne,24,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),86.0,TP
S05055970,581475.0,6478700.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,339.0,TP
S05056600,583908.0,6474570.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,278.0,TP
S05068368,624343.0,6470090.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,531.0,TP
S05068371,623237.0,6468330.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,499.0,P
S05068750,647459.0,6490530.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,589.0,P
S05047500,510624.0,6425100.0,Adour-Garonne,24,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,58.0,TP
S06456700,998169.0,6727644.0,Rhône-Méditerranée,90,18,ALSACE,73,Collines du Sundgau,338.0,TP
S04195600,264186.2,6744380.0,Loire-Bretagne,56,12,ARMORICAIN,58,MA-sud interieur,0.0,TP
S03189120,606008.48,6815761.12,Seine-Normandie,28,9,TABLES CALCAIRES,38,TC-aureole cretace,130.0,P
S04154290,376982.72,6612946.77,Loire-Bretagne,85,12,ARMORICAIN,58,MA-sud interieur,0.0,M
S03024294,771935.83,6665354.5,Seine-Normandie,58,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,346.0,TP
S03052823,668836.81,6751751.19,Seine-Normandie,45,20,DEPOTS ARGILO SABLEUX,28,Sologne-Foret d'Orleans,111.0,TP
S04123750,434894.4,6822140.0,Loire-Bretagne,53,12,ARMORICAIN,55,MA-nord est,0.0,M
S04179160,208051.2,6809553.0,Loire-Bretagne,29,12,ARMORICAIN,59,MA-ouest,0.0,TP
S04417002,771520.4,6635202.0,Loire-Bretagne,58,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,0.0,P
S05021120,510372.0,6509780.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,131.0,P
S05091020,618442.0,6389260.0,Adour-Garonne,46,11,CAUSSES AQUITAINS,65,Causses du Quercy,187.0,TP
S04100940,432053.2,6654130.0,Loire-Bretagne,79,12,ARMORICAIN,58,MA-sud interieur,0.0,M
S05064000,648706.0,6420540.0,Adour-Garonne,15,3,MASSIF CENTRAL SUD,93,MC versant occidental,552.0,P
S04156520,411072.61,6618071.06,Loire-Bretagne,85,12,ARMORICAIN,58,MA-sud interieur,0.0,P
S05053110,589605.0,6454400.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,132.0,TP
S05074700,422909.0,6412960.0,Adour-Garonne,33,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,5.0,TP
S03134708,677913.0,6908921.0,Seine-Normandie,60,9,TABLES CALCAIRES,36,BP-Ile de France,77.0,TP
S04027440,743707.0,6431244.0,Loire-Bretagne,43,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,0.0,P
S04152500,343814.8,6631662.0,Loire-Bretagne,85,12,ARMORICAIN,58,MA-sud interieur,0.0,P
S05009000,434746.0,6485820.0,Adour-Garonne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,35.0,P
S05010000,441069.0,6482020.0,Adour-Garonne,17,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,50.0,TP
S05020200,486094.0,6531670.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,63.0,P
S05108190,494152.0,6302130.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,116.0,TP
S04060375,669613.1,6600790.0,Loire-Bretagne,03,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04082150,528926.0,6552850.0,Loire-Bretagne,16,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04082340,523493.26,6581787.45,Loire-Bretagne,86,20,DEPOTS ARGILO SABLEUX,42,Epandages eluviaux,0.0,M
S05114400,504210.0,6323850.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,78.0,TP
S05228500,460058.0,6311740.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,77,Coteaux molassiques bassin de l'adour,114.0,TP
S04082390,523887.7,6590761.0,Loire-Bretagne,86,9,TABLES CALCAIRES,97,TC - Charentes Poitou,0.0,TP
S04095100,541771.2,6566967.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S05008000,429785.0,6489390.0,Adour-Garonne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,29.0,P
S05011490,448353.0,6495750.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,35.0,TP
S04086060,524093.8,6624822.0,Loire-Bretagne,86,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,TP
S04093800,556623.0,6562909.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S03033305,768952.0,6693830.0,Seine-Normandie,58,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,305.0,P
S04196299,282389.36,6803820.66,Loire-Bretagne,22,12,ARMORICAIN,59,MA-ouest,0.0,TP
S04545004,594929.8,6578286.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S06000950,943886.0,6777297.0,Rhône-Méditerranée,88,4,VOSGES,74,Vosges greseuses,294.0,TP
S06455480,1001155.0,6726713.0,Rhône-Méditerranée,90,18,ALSACE,73,Collines du Sundgau,357.0,TP
S03277600,716102.0,6945319.0,Seine-Normandie,02,9,TABLES CALCAIRES,36,BP-Ile de France,43.0,TP
S04090900,589438.1,6599160.0,Loire-Bretagne,36,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04096105,576193.9,6590388.0,Loire-Bretagne,36,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
S04108736,489347.0,6741400.0,Loire-Bretagne,72,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,0.0,P
S04195950,272105.4,6794872.0,Loire-Bretagne,22,12,ARMORICAIN,59,MA-ouest,0.0,P
S05063350,624715.0,6427490.0,Adour-Garonne,46,3,MASSIF CENTRAL SUD,93,MC versant occidental,536.0,TP
S05063400,627423.0,6425060.0,Adour-Garonne,46,3,MASSIF CENTRAL SUD,93,MC versant occidental,562.0,TP
S05068030,625737.0,6443280.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,459.0,TP
S05114000,513782.0,6338240.0,Adour-Garonne,47,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,50.0,M
S04139250,412802.24,6655761.37,Loire-Bretagne,79,12,ARMORICAIN,58,MA-sud interieur,0.0,P
S04181960,186484.0,6789241.0,Loire-Bretagne,29,12,ARMORICAIN,59,MA-ouest,0.0,M
S05021700,513005.0,6510080.0,Adour-Garonne,24,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,137.0,TP
S05022000,503045.0,6504000.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,108.0,TP
S05024309,524521.0,6524350.0,Adour-Garonne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,239.0,TP
S05033350,500401.0,6491210.0,Adour-Garonne,24,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),108.0,TP
S05060920,574016.0,6418770.0,Adour-Garonne,46,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),97.0,TP
S04100960,433394.94,6645141.93,Loire-Bretagne,79,12,ARMORICAIN,58,MA-sud interieur,0.0,P
S05033590,507048.0,6467820.0,Adour-Garonne,24,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),80.0,TP
S05033685,509850.0,6477270.0,Adour-Garonne,24,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),110.0,TP
S05033700,513361.0,6473380.0,Adour-Garonne,24,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),93.0,P
S05033200,490312.0,6485390.0,Adour-Garonne,16,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,83.0,TP
S05029980,456027.0,6466860.0,Adour-Garonne,16,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,56.0,TP
S04174550,183864.18,6864765.52,Loire-Bretagne,29,12,ARMORICAIN,59,MA-ouest,0.0,TP
S05042070,564480.0,6485860.0,Adour-Garonne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,273.0,TP
S05042071,575531.0,6492720.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,336.0,TP
S05042095,574460.0,6485840.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,300.0,TP
S03103970,794545.13,6875777.45,Seine-Normandie,51,9,TABLES CALCAIRES,38,TC-aureole cretace,80.0,TP
S04076100,624900.4,6522776.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,89,Hautes Terres Limousines,0.0,TP
S04076420,612316.9,6543747.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S04086550,635399.38,6518467.15,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,89,Hautes Terres Limousines,0.0,P
S05039000,510935.0,6455400.0,Adour-Garonne,24,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,71.0,P
S05042950,542441.0,6470590.0,Adour-Garonne,24,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),128.0,TP
S04086950,636870.8,6541004.0,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,TP
S04128490,423680.8,6758530.0,Loire-Bretagne,53,12,ARMORICAIN,117,MA-est interieur,0.0,G
S05029500,438802.0,6460640.0,Adour-Garonne,17,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,60.0,TP
S03250572,405023.62,6874077.92,Seine-Normandie,14,12,ARMORICAIN,55,MA-nord est,0.0,TP
S03250585,405806.0,6875587.0,Seine-Normandie,50,12,ARMORICAIN,55,MA-nord est,60.0,P
S03269295,376386.84,6852271.35,Seine-Normandie,50,12,ARMORICAIN,55,MA-nord est,10.0,TP
S04091250,595784.5,6621549.0,Loire-Bretagne,36,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,P
S05029850,451480.0,6454800.0,Adour-Garonne,17,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,25.0,TP
S05207150,371765.0,6280270.0,Adour-Garonne,40,14,COTEAUX AQUITAINS,77,Coteaux molassiques bassin de l'adour,8.0,M
S06149250,851140.0,6446795.0,Rhône-Méditerranée,26,5,JURA-PREALPES DU NORD,85,Collines du Bas Dauphine,187.0,TP
S04049500,658058.6,6737260.0,Loire-Bretagne,45,20,DEPOTS ARGILO SABLEUX,28,Sologne-Foret d'Orleans,0.0,P
S06341385,907083.0,6358117.0,Rhône-Méditerranée,26,7,PREALPES DU SUD,14,Prealpes dromoises Baronnies,826.0,P
S03103115,814551.0,6845430.0,Seine-Normandie,51,9,TABLES CALCAIRES,38,TC-aureole cretace,100.0,TP
S03112710,741687.0,6878930.0,Seine-Normandie,02,9,TABLES CALCAIRES,36,BP-Ile de France,80.0,P
S04047700,685461.4,6721683.0,Loire-Bretagne,45,9,TABLES CALCAIRES,41,Tables calcaires Sud Loire,0.0,TP
S05096060,665573.0,6401350.0,Adour-Garonne,12,3,MASSIF CENTRAL SUD,93,MC versant occidental,277.0,P
S06116610,887290.0,6370093.0,Rhône-Méditerranée,26,7,PREALPES DU SUD,14,Prealpes dromoises Baronnies,459.0,P
S04215600,352807.88,6718554.13,Loire-Bretagne,44,12,ARMORICAIN,58,MA-sud interieur,0.0,P
S04149680,314335.6,6691633.0,Loire-Bretagne,44,12,ARMORICAIN,58,MA-sud interieur,0.0,TP
S04123755,436350.83,6844800.77,Loire-Bretagne,61,12,ARMORICAIN,55,MA-nord est,0.0,M
S05101405,723680.0,6388340.0,Adour-Garonne,48,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,710.0,TP
S05173400,601086.0,6182810.0,Adour-Garonne,09,1,PYRENEES,96,Pyrenees Etage montagnard,660.0,P
S06175400,623374.0,6161819.0,Rhône-Méditerranée,66,1,PYRENEES,24,Pyrenees orientales,1735.0,TP
S04413032,783807.8,6634972.0,Loire-Bretagne,71,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,0.0,TP
S05139350,672003.0,6290900.0,Adour-Garonne,81,3,MASSIF CENTRAL SUD,93,MC versant occidental,720.0,TP
S06119000,796736.0,6351023.0,Rhône-Méditerranée,30,6,MEDITERRANEEN,104,Garrigues sub cevenoles,127.0,M
S05074600,425032.0,6415700.0,Adour-Garonne,33,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,9.0,TP
S03115000,719606.0,6898637.0,Seine-Normandie,02,9,TABLES CALCAIRES,36,BP-Ile de France,80.0,P
S04027265,751514.0,6411024.0,Loire-Bretagne,48,3,MASSIF CENTRAL SUD,90,Hautes Terres Granitiques - Margeride,0.0,P
S05096830,703810.0,6398200.0,Adour-Garonne,48,3,MASSIF CENTRAL SUD,91,Hautes Terres Volcaniques humides,1094.0,P
S06180500,702512.0,6224763.0,Rhône-Méditerranée,11,6,MEDITERRANEEN,105,Plaine mediterraneenne,3.0,P
S04079600,561995.4,6520324.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,M
S04079800,552395.6,6528650.0,Loire-Bretagne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,G
S04137995,417466.7,6641638.0,Loire-Bretagne,79,12,ARMORICAIN,58,MA-sud interieur,0.0,M
S05077370,453580.0,6368250.0,Adour-Garonne,33,13,LANDES,21,Landes,99.0,TP
S06101670,842676.0,6460963.0,Rhône-Méditerranée,26,5,JURA-PREALPES DU NORD,85,Collines du Bas Dauphine,140.0,TP
S05175100,548469.0,6246670.0,Adour-Garonne,31,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,233.0,TP
S04089100,644162.21,6582505.11,Loire-Bretagne,23,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,0.0,P
